zrevrangebylex	Commands.SortedSets.zrev_range_by_lex	request/typed-decoder
zrevrangebyscore	Commands.SortedSets.zrev_range_by_score	request/typed-decoder
zrevrank	Commands.SortedSets.zrev_rank	request/typed-decoder
zscan	Commands.SortedSets.zscan	request/typed-decoder
zscore	Commands.SortedSets.zscore	request/typed-decoder
zunion	Commands.SortedSets.zunion	request/typed-decoder
zunionstore	Commands.SortedSets.zunion_store	request/typed-decoder
xack	Commands.Streams.xack	request/typed-decoder
xackdel	Commands.Streams.xack_del	request/typed-decoder
xadd	Commands.Streams.xadd	request/typed-decoder
xautoclaim	Commands.Streams.xauto_claim	request/typed-decoder
xcfgset	Commands.Streams.xcfg_set	request/typed-decoder
xclaim	Commands.Streams.xclaim	request/typed-decoder
xdel	Commands.Streams.xdel	request/typed-decoder
xdelex	Commands.Streams.xdel_ex	request/typed-decoder
xgroup|create	Commands.Streams.xgroup_create	request/typed-decoder
xgroup|createconsumer	Commands.Streams.xgroup_create_consumer	request/typed-decoder
xgroup|delconsumer	Commands.Streams.xgroup_del_consumer	request/typed-decoder
xgroup|destroy	Commands.Streams.xgroup_destroy	request/typed-decoder
xgroup|setid	Commands.Streams.xgroup_set_id	request/typed-decoder
xinfo|consumers	Commands.Streams.xinfo_consumers	request/custom-decoder
xinfo|groups	Commands.Streams.xinfo_groups	request/custom-decoder
xinfo|stream	Commands.Streams.xinfo_stream	request/custom-decoder
xlen	Commands.Streams.xlen	request/typed-decoder
xnack	Commands.Streams.xnack	request/typed-decoder
xpending	Commands.Streams.xpending	request/typed-decoder
xrange	Commands.Streams.xrange	request/typed-decoder
xread	Commands.Streams.xread	request/typed-decoder
xreadgroup	Commands.Streams.xread_group	request/typed-decoder
xrevrange	Commands.Streams.xrev_range	request/typed-decoder
xtrim	Commands.Streams.xtrim	request/typed-decoder
bitcount	Commands.Bitmaps.bit_count	request/typed-decoder
bitfield	Commands.Bitmaps.bit_field	request/typed-decoder
bitfield_ro	Commands.Bitmaps.bit_field_ro	request/typed-decoder
bitop	Commands.Bitmaps.bit_op	request/typed-decoder
bitpos	Commands.Bitmaps.bit_pos	request/typed-decoder
getbit	Commands.Bitmaps.get_bit	request/typed-decoder
setbit	Commands.Bitmaps.set_bit	request/typed-decoder
pfadd	Commands.HyperLogLog.pf_add	request/typed-decoder
pfcount	Commands.HyperLogLog.pf_count	request/typed-decoder
pfmerge	Commands.HyperLogLog.pf_merge	request/typed-decoder
geoadd	Commands.Geo.geo_add	request/typed-decoder
geodist	Commands.Geo.geo_dist	request/typed-decoder
geohash	Commands.Geo.geo_hash	request/typed-decoder
geopos	Commands.Geo.geo_pos	request/typed-decoder
georadius	Commands.Geo.geo_radius	request/typed-decoder
georadius_ro	Commands.Geo.geo_radius_ro	request/typed-decoder
georadiusbymember	Commands.Geo.geo_radius_by_member	request/typed-decoder
georadiusbymember_ro	Commands.Geo.geo_radius_by_member_ro	request/typed-decoder
geosearch	Commands.Geo.geo_search	request/typed-decoder
geosearchstore	Commands.Geo.geo_search_store	request/typed-decoder
arcount	Commands.Arrays.arcount	request/typed-decoder
ardel	Commands.Arrays.ardel	request/typed-decoder
ardelrange	Commands.Arrays.ardel_range	request/typed-decoder
arget	Commands.Arrays.arget	request/typed-decoder
argetrange	Commands.Arrays.arget_range	request/typed-decoder
argrep	Commands.Arrays.argrep	request/typed-decoder
arinfo	Commands.Arrays.arinfo	request/custom-decoder
arinsert	Commands.Arrays.arinsert	request/typed-decoder
arlastitems	Commands.Arrays.arlast_items	request/typed-decoder
arlen	Commands.Arrays.arlen	request/typed-decoder
armget	Commands.Arrays.armget	request/typed-decoder
armset	Commands.Arrays.armset	request/typed-decoder
arnext	Commands.Arrays.arnext	request/typed-decoder
arop	Commands.Arrays.arop	request/typed-decoder
arring	Commands.Arrays.arring	request/typed-decoder
arscan	Commands.Arrays.arscan	request/typed-decoder
arseek	Commands.Arrays.arseek	request/typed-decoder
arset	Commands.Arrays.arset	request/typed-decoder
vadd	Commands.VectorSets.vadd	request/typed-decoder
vcard	Commands.VectorSets.vcard	request/typed-decoder
vdim	Commands.VectorSets.vdim	request/typed-decoder
vemb	Commands.VectorSets.vemb	request/typed-decoder
vgetattr	Commands.VectorSets.vget_attr	request/typed-decoder
vinfo	Commands.VectorSets.vinfo	request/custom-decoder
vismember	Commands.VectorSets.vis_member	request/typed-decoder
vlinks	Commands.VectorSets.vlinks	request/typed-decoder
vrandmember	Commands.VectorSets.vrand_member	request/typed-decoder
vrange	Commands.VectorSets.vrange	request/typed-decoder
vrem	Commands.VectorSets.vrem	request/typed-decoder
vsetattr	Commands.VectorSets.vset_attr	request/typed-decoder
vsim	Commands.VectorSets.vsim	request/typed-decoder
asking	Commands.Cluster.asking	request/typed-decoder
cluster|addslots	Commands.Cluster.add_slots	request/typed-decoder
cluster|addslotsrange	Commands.Cluster.add_slots_range	request/typed-decoder
cluster|bumpepoch	Commands.Cluster.bump_epoch	request/typed-decoder
cluster|count-failure-reports	Commands.Cluster.count_failure_reports	request/typed-decoder
cluster|countkeysinslot	Commands.Cluster.count_keys_in_slot	request/typed-decoder
cluster|delslots	Commands.Cluster.del_slots	request/typed-decoder
cluster|delslotsrange	Commands.Cluster.del_slots_range	request/typed-decoder
cluster|failover	Commands.Cluster.failover	request/typed-decoder
cluster|flushslots	Commands.Cluster.flush_slots	request/typed-decoder
cluster|forget	Commands.Cluster.forget	request/typed-decoder
cluster|getkeysinslot	Commands.Cluster.get_keys_in_slot	request/typed-decoder
cluster|info	Commands.Cluster.info	request/typed-decoder
cluster|keyslot	Commands.Cluster.key_slot	request/typed-decoder
cluster|links	Commands.Cluster.links	request/custom-decoder
cluster|meet	Commands.Cluster.meet	request/typed-decoder
cluster|migration	Commands.Cluster.migration	request/custom-decoder
cluster|myid	Commands.Cluster.my_id	request/typed-decoder
cluster|myshardid	Commands.Cluster.my_shard_id	request/typed-decoder
cluster|nodes	Commands.Cluster.nodes	request/typed-decoder
cluster|replicas	Commands.Cluster.replicas	request/typed-decoder
cluster|replicate	Commands.Cluster.replicate	request/typed-decoder
cluster|reset	Commands.Cluster.reset	request/typed-decoder
cluster|saveconfig	Commands.Cluster.save_config	request/typed-decoder
cluster|set-config-epoch	Commands.Cluster.set_config_epoch	request/typed-decoder
cluster|setslot	Commands.Cluster.set_slot	request/typed-decoder
cluster|shards	Commands.Cluster.shards	request/custom-decoder
cluster|slaves	Commands.Cluster.slaves	request/typed-decoder
cluster|slot-stats	Commands.Cluster.slot_stats	request/custom-decoder
cluster|slots	Commands.Cluster.slots	request/custom-decoder
readonly	Commands.Cluster.read_only	request/typed-decoder
readwrite	Commands.Cluster.read_write	request/typed-decoder
auth	Commands.Session.auth	request/typed-decoder
client|caching	Commands.Session.client_caching	request/typed-decoder
client|getname	Commands.Session.client_get_name	request/typed-decoder
client|getredir	Commands.Session.client_get_redir	request/typed-decoder
client|id	Commands.Session.client_id	request/typed-decoder
client|info	Commands.Session.client_info	request/typed-decoder
client|kill	Commands.Session.client_kill	encoding-only
client|list	Commands.Session.client_list	request/typed-decoder
client|no-evict	Commands.Session.client_no_evict	request/typed-decoder
client|no-touch	Commands.Session.client_no_touch	request/typed-decoder
client|pause	Commands.Session.client_pause	request/typed-decoder
client|reply	Commands.Session.client_reply	encoding-only
client|setinfo	Commands.Session.client_set_info	request/typed-decoder
client|setname	Commands.Session.client_set_name	request/typed-decoder
client|tracking	Commands.Session.client_tracking	encoding-only
client|trackinginfo	Commands.Session.client_tracking_info	request/typed-decoder
client|unblock	Commands.Session.client_unblock	request/typed-decoder
client|unpause	Commands.Session.client_unpause	request/typed-decoder
echo	Commands.Session.echo	request/typed-decoder
hello	Commands.Session.hello	encoding-only
ping	Commands.Session.ping	request/typed-decoder
quit	Commands.Session.quit	encoding-only
reset	Commands.Session.reset	encoding-only
select	Commands.Session.select	request/typed-decoder
psubscribe	Commands.PubSub.psubscribe	encoding-only
publish	Commands.PubSub.publish	request/typed-decoder
pubsub|channels	Commands.PubSub.pubsub_channels	request/typed-decoder
pubsub|numpat	Commands.PubSub.pubsub_num_pat	request/typed-decoder
pubsub|numsub	Commands.PubSub.pubsub_num_sub	request/typed-decoder
pubsub|shardchannels	Commands.PubSub.pubsub_shard_channels	request/typed-decoder
pubsub|shardnumsub	Commands.PubSub.pubsub_shard_num_sub	request/typed-decoder
punsubscribe	Commands.PubSub.punsubscribe	encoding-only
spublish	Commands.PubSub.spublish	request/typed-decoder
ssubscribe	Commands.PubSub.ssubscribe	encoding-only
subscribe	Commands.PubSub.subscribe	encoding-only
sunsubscribe	Commands.PubSub.sunsubscribe	encoding-only
unsubscribe	Commands.PubSub.unsubscribe	encoding-only
eval	Commands.Scripting.eval	request/custom-decoder
eval_ro	Commands.Scripting.eval_ro	request/custom-decoder
evalsha	Commands.Scripting.eval_sha	request/custom-decoder
evalsha_ro	Commands.Scripting.eval_sha_ro	request/custom-decoder
fcall	Commands.Scripting.fcall	request/custom-decoder
fcall_ro	Commands.Scripting.fcall_ro	request/custom-decoder
function|delete	Commands.Scripting.function_delete	request/typed-decoder
function|dump	Commands.Scripting.function_dump	request/typed-decoder
function|flush	Commands.Scripting.function_flush	request/typed-decoder
function|kill	Commands.Scripting.function_kill	request/typed-decoder
function|list	Commands.Scripting.function_list	request/custom-decoder
function|load	Commands.Scripting.function_load	request/typed-decoder
function|restore	Commands.Scripting.function_restore	request/typed-decoder
function|stats	Commands.Scripting.function_stats	request/custom-decoder
script|debug	Commands.Scripting.script_debug	encoding-only
script|exists	Commands.Scripting.script_exists	request/typed-decoder
script|flush	Commands.Scripting.script_flush	request/typed-decoder
script|kill	Commands.Scripting.script_kill	request/typed-decoder
script|load	Commands.Scripting.script_load	request/typed-decoder
acl|cat	Commands.Server.acl_cat	request/typed-decoder
acl|deluser	Commands.Server.acl_del_user	request/typed-decoder
acl|dryrun	Commands.Server.acl_dry_run	request/typed-decoder
acl|genpass	Commands.Server.acl_gen_pass	request/typed-decoder
acl|getuser	Commands.Server.acl_get_user	request/custom-decoder
acl|list	Commands.Server.acl_list	request/typed-decoder
acl|load	Commands.Server.acl_load	request/typed-decoder
acl|log	Commands.Server.acl_log	request/typed-decoder
acl|save	Commands.Server.acl_save	request/typed-decoder
acl|setuser	Commands.Server.acl_set_user	request/typed-decoder
acl|users	Commands.Server.acl_users	request/typed-decoder
acl|whoami	Commands.Server.acl_who_am_i	request/typed-decoder
backup|abort	Commands.Server.backup_abort	request/typed-decoder
backup|cleanup	Commands.Server.backup_cleanup	request/typed-decoder
backup|list	Commands.Server.backup_list	request/custom-decoder
backup|seal	Commands.Server.backup_seal	request/typed-decoder
backup|start	Commands.Server.backup_start	request/typed-decoder
backup|status	Commands.Server.backup_status	request/custom-decoder
bgrewriteaof	Commands.Server.bgrewrite_aof	request/typed-decoder
bgsave	Commands.Server.bgsave	request/typed-decoder
command	Commands.Server.command	request/custom-decoder
command|count	Commands.Server.command_count	request/typed-decoder
command|docs	Commands.Server.command_docs	request/custom-decoder
command|getkeys	Commands.Server.command_get_keys	request/typed-decoder
command|getkeysandflags	Commands.Server.command_get_keys_and_flags	request/custom-decoder
command|info	Commands.Server.command_info	request/custom-decoder
command|list	Commands.Server.command_list	request/typed-decoder
config|get	Commands.Server.config_get	request/typed-decoder
config|resetstat	Commands.Server.config_reset_stat	request/typed-decoder
config|rewrite	Commands.Server.config_rewrite	request/typed-decoder
config|set	Commands.Server.config_set	request/typed-decoder
dbsize	Commands.Server.dbsize	request/typed-decoder
failover	Commands.Server.failover	request/typed-decoder
flushall	Commands.Server.flush_all	request/typed-decoder
flushdb	Commands.Server.flush_db	request/typed-decoder
hotkeys|get	Commands.Server.hotkeys_get	request/custom-decoder
hotkeys|reset	Commands.Server.hotkeys_reset	request/typed-decoder
hotkeys|start	Commands.Server.hotkeys_start	request/typed-decoder
hotkeys|stop	Commands.Server.hotkeys_stop	request/typed-decoder
info	Commands.Server.info	request/typed-decoder
lastsave	Commands.Server.last_save	request/typed-decoder
latency|doctor	Commands.Server.latency_doctor	request/typed-decoder
latency|graph	Commands.Server.latency_graph	request/typed-decoder
latency|histogram	Commands.Server.latency_histogram	request/custom-decoder
latency|history	Commands.Server.latency_history	request/typed-decoder
latency|latest	Commands.Server.latency_latest	request/typed-decoder
latency|reset	Commands.Server.latency_reset	request/typed-decoder
lolwut	Commands.Server.lolwut	request/typed-decoder
memory|doctor	Commands.Server.memory_doctor	request/typed-decoder
memory|malloc-stats	Commands.Server.memory_malloc_stats	request/typed-decoder
memory|purge	Commands.Server.memory_purge	request/typed-decoder
memory|stats	Commands.Server.memory_stats	request/custom-decoder
memory|usage	Commands.Server.memory_usage	request/typed-decoder
module|list	Commands.Server.module_list	request/custom-decoder
module|load	Commands.Server.module_load	request/typed-decoder
module|loadex	Commands.Server.module_load_ex	request/typed-decoder
module|unload	Commands.Server.module_unload	request/typed-decoder
monitor	Commands.Server.monitor	encoding-only
replicaof	Commands.Server.replica_of	request/typed-decoder
role	Commands.Server.role	request/custom-decoder
save	Commands.Server.save	request/typed-decoder
shutdown	Commands.Server.shutdown	encoding-only
slaveof	Commands.Server.slave_of	request/typed-decoder
slowlog|get	Commands.Server.slowlog_get	request/custom-decoder
slowlog|len	Commands.Server.slowlog_len	request/typed-decoder
slowlog|reset	Commands.Server.slowlog_reset	request/typed-decoder
swapdb	Commands.Server.swap_db	request/typed-decoder
time	Commands.Server.time	request/typed-decoder
trimslots	Commands.Server.trim_slots	request/typed-decoder
discard	Commands.Transactions.discard	request/typed-decoder
exec	Commands.Transactions.exec	request/typed-decoder
multi	Commands.Transactions.multi	request/typed-decoder
unwatch	Commands.Transactions.unwatch	request/typed-decoder
watch	Commands.Transactions.watch	request/typed-decoder
